,I,II,v1,v2,v3,v4,v5,v6
0,-39,-64,-9,-15,-33,-66,-61,-62
1,-70,-26,6,-64,-45,-52,-70,-54
2,-34,-10,-13,-101,-61,-26,-68,-7
3,-11,-12,-62,-131,-85,-60,-114,-13
4,38,9,-76,-147,-79,-39,-129,-13
5,2,31,-96,-173,-134,-82,-145,-57
6,0,50,-69,-164,-98,-113,-167,-52
7,-21,40,-69,-163,-151,-135,-180,-57
8,7,60,-65,-182,-174,-154,-192,-113
9,-43,11,-56,-167,-194,-147,-191,-131
10,-58,23,-58,-167,-214,-143,-186,-142
11,-6,0,-48,-171,-153,-139,-179,-120
12,-31,16,-78,-161,-193,-119,-144,-126
13,-14,19,-90,-169,-186,-113,-126,-121
14,-38,11,-89,-144,-192,-115,-131,-118
15,-35,21,-92,-170,-172,-122,-108,-93
16,-37,31,-82,-196,-189,-125,-113,-94
17,-64,17,-106,-210,-216,-140,-120,-84
18,-72,-3,-115,-238,-219,-127,-131,-92
19,-65,-6,-110,-255,-222,-143,-138,-103
20,-80,-35,-123,-281,-207,-164,-149,-100
21,-88,-9,-122,-308,-227,-201,-179,-114
22,-99,-2,-115,-311,-259,-193,-161,-70
23,-115,17,-101,-315,-261,-179,-153,-113
24,-89,33,-124,-316,-256,-154,-160,-90
25,-96,48,-128,-275,-194,-120,-162,-108
26,-115,76,-98,-238,-235,-74,-140,-107
27,-134,26,-63,-191,-180,-72,-143,-87
28,-104,23,-8,-106,-105,-26,-116,-107
29,-74,54,-2,-25,-79,20,-103,-126
30,-40,48,1,69,-1,110,-87,-134
31,-58,32,-32,134,28,123,-49,-132
32,62,58,-34,181,56,222,-6,-77
33,134,86,-44,307,130,266,7,-101
34,227,93,-81,393,195,329,56,-86
35,280,100,-107,568,380,494,148,-60
36,367,143,-154,697,593,643,235,-18
37,463,171,-130,802,740,774,280,117
38,492,235,-209,814,859,833,330,146
39,443,300,-229,739,794,772,361,177
40,405,294,-338,500,660,598,317,215
41,406,393,-439,201,411,394,274,257
42,299,370,-533,-136,136,196,206,283
43,265,300,-624,-462,-136,43,145,283
44,178,209,-674,-702,-388,-233,9,147
45,136,87,-709,-899,-571,-427,-145,44
46,66,-105,-723,-1041,-707,-553,-323,-68
