,I,II,v1,v2,v3,v4,v5,v6
0,-67,26,-48,20,-24,-23,-14,-25
1,-45,39,17,-3,-6,17,-4,1
2,-37,23,4,16,1,54,47,63
3,-2,-14,-36,-22,27,17,28,58
4,72,9,17,20,41,54,20,101
5,57,70,-3,25,-13,8,47,72
6,21,61,42,14,77,-5,2,86
7,5,37,44,27,44,10,24,118
8,18,95,29,-6,-9,3,36,40
9,-38,12,68,-8,-26,40,22,60
10,-44,17,50,25,-19,28,35,72
11,-18,9,60,32,37,7,48,51
12,-37,10,12,3,-21,22,13,39
13,-20,31,-1,-3,-30,15,2,28
14,-29,27,-9,4,-33,2,7,22
15,-35,19,-14,11,-38,4,8,20
16,-21,23,19,27,-6,-10,12,14
17,-10,7,15,19,-15,-20,-9,5
18,-27,-30,32,10,-12,-8,-27,10
19,-21,-23,28,7,-13,-20,-29,4
20,-34,-17,28,-1,-27,-9,-14,-3
21,-44,-2,33,1,-41,0,-17,0
22,-32,1,32,-3,-36,-1,-17,-11
23,-39,1,37,11,-38,-1,0,-3
24,-37,-11,34,-10,-45,-3,-9,-13
25,-22,-14,42,-11,-22,-11,-26,-13
26,-22,-5,25,-16,-44,-1,-26,-23
27,-25,-7,33,-13,-56,-7,-41,-38
28,-13,-26,46,4,-33,-29,-46,-29
29,-1,-16,42,-11,-40,-49,-45,-34
30,3,-12,54,-16,-57,-53,-39,-29
31,-1,-21,47,-12,-41,-55,-32,-21
32,-7,-23,44,-14,-36,-49,-29,-32
33,-10,-32,54,-9,-38,-44,-39,-34
34,-23,-26,52,-15,-35,-43,-40,-40
35,-35,-13,58,-16,-31,-27,-37,-32
36,-29,-14,57,-7,-53,-24,-35,-27
37,-32,-23,60,-17,-48,-36,-27,-30
38,-35,-23,58,-33,-60,-42,-19,-24
39,-46,-38,52,-27,-53,-37,-28,-38
40,-48,-35,61,-13,-45,-48,-42,-36
41,-48,-28,54,-22,-48,-54,-48,-40
42,-53,-20,46,-15,-43,-42,-56,-40
43,-43,-17,50,-9,-43,-44,-46,-41
44,-32,-21,44,-9,-39,-42,-41,-37
45,-35,-22,25,-10,-53,-44,-54,-41
46,-36,-27,13,-19,-66,-49,-55,-37
47,-29,-25,14,-24,-62,-47,-49,-33
48,-25,-20,10,-21,-61,-49,-42,-28
49,-33,-18,13,-9,-47,-34,-38,-28
50,-36,-22,25,3,-32,-26,-31,-30
51,-35,-32,27,5,-34,-25,-33,-26
52,-35,-40,33,14,-41,-18,-38,-22
53,-32,-43,33,10,-49,-31,-36,-33
54,-33,-49,33,11,-55,-34,-33,-31
55,-34,-46,29,3,-61,-35,-32,-30
56,-29,-47,26,-1,-55,-30,-35,-23
57,-36,-48,26,6,-53,-23,-24,-21
58,-46,-42,19,6,-55,-22,-31,-29
59,-51,-41,30,13,-47,-20,-35,-29
60,-40,-34,32,15,-41,-16,-31,-33
61,-37,-34,28,20,-41,-14,-37,-35
62,-38,-38,21,31,-37,-12,-41,-29
63,-40,-37,26,24,-36,-18,-44,-31
64,-34,-29,40,32,-37,-27,-35,-22
65,-37,-26,32,27,-38,-23,-29,-23
66,-45,-30,31,28,-26,-13,-24,-21
67,-43,-33,30,31,-25,-9,-19,-14
68,-45,-30,29,16,-34,-2,-21,-21
69,-47,-33,28,15,-33,0,-17,-26
70,-48,-41,11,18,-29,0,-20,-25
71,-42,-38,17,22,-20,0,-22,-24
72,-37,-32,25,18,-27,-2,-22,-23
73,-41,-31,16,14,-38,-7,-26,-21
74,-48,-36,12,19,-32,-13,-31,-22
75,-46,-33,10,19,-24,-18,-28,-20
76,-37,-18,15,18,-20,-14,-15,-29
77,-36,-12,22,25,-19,-4,-19,-19
78,-32,-25,28,31,-16,-2,-25,-12
79,-28,-31,15,24,-27,-10,-23,-17
80,-35,-32,5,15,-36,-6,-28,-23
81,-39,-22,9,17,-34,-10,-33,-26
82,-30,-23,5,14,-34,-17,-31,-29
83,-32,-27,3,13,-37,-11,-30,-28
84,-35,-20,-2,13,-32,-16,-33,-35
85,-35,-11,11,16,-29,-10,-28,-24
86,-30,-9,20,22,-24,1,-13,-22
87,-30,0,23,22,-20,2,-13,-18
88,-24,-7,30,20,-23,4,-13,-10
89,-31,-19,28,24,-28,-3,-12,-15
90,-36,-14,41,28,-24,-3,-15,-14
91,-36,-4,42,24,-25,0,-3,-10
92,-32,-1,35,21,-24,8,-1,-12
93,-27,0,45,25,-14,14,0,-8
94,-22,5,34,21,-12,19,4,-9
95,-26,0,27,26,-16,23,1,-6
96,-23,-4,25,29,-11,22,-3,-5
97,-21,1,22,24,-2,28,3,-14
98,-25,14,16,36,4,26,9,-9
99,-31,13,23,36,10,33,14,5
100,-23,16,34,33,12,35,22,6
101,-27,5,37,35,7,38,26,2
102,-31,0,43,36,5,39,31,6
103,-24,15,42,38,12,43,40,9
104,-22,11,42,34,9,54,32,15
105,-17,6,38,29,6,55,35,16
106,-25,4,28,28,20,50,32,19
107,-31,-7,27,28,19,48,28,11
108,-32,1,22,20,13,46,31,0
109,-29,10,31,18,20,56,29,6
110,-23,8,30,27,25,51,31,7
111,-16,5,32,21,21,49,33,15
112,-21,8,36,17,27,48,38,16
113,-19,12,31,15,26,48,36,14
114,-19,4,32,6,11,53,34,16
115,-18,-12,36,3,5,44,28,9
116,-21,-12,35,-2,4,38,26,6
117,-19,-15,38,-3,1,36,25,6
118,-15,-16,43,6,0,29,23,-3
119,-15,-15,38,-1,-6,18,18,-4
120,-13,-18,24,-19,-10,11,10,-3
