,I,II,v1,v2,v3,v4,v5,v6
0,-116,17,1,2,-41,-76,-77,-26
1,-137,0,30,-34,-79,-58,-115,-43
2,-111,-32,23,-49,-93,-59,-93,-12
3,-92,-92,-11,-76,-93,-104,-128,-50
4,-31,-74,13,-31,-72,-94,-135,-41
5,-37,-49,15,-19,-117,-106,-100,-49
6,-64,-56,28,-49,-59,-98,-137,-45
7,-75,-65,40,-42,-76,-102,-119,-25
8,-62,-31,11,-56,-117,-105,-119,-76
9,-103,-57,29,-52,-119,-96,-108,-54
10,-98,-32,22,-48,-127,-95,-88,-58
11,-53,-55,17,-45,-73,-105,-56,-48
12,-66,-58,-16,-40,-100,-93,-73,-52
13,-62,-40,-10,-50,-92,-89,-77,-39
14,-67,-45,1,-55,-92,-91,-54,-36
15,-63,-37,-11,-52,-94,-91,-63,-47
16,-47,-37,6,-33,-72,-95,-73,-39
17,-40,-50,-4,-44,-97,-106,-83,-41
18,-60,-65,-1,-69,-95,-92,-99,-53
19,-49,-57,6,-69,-99,-89,-88,-58
20,-33,-46,-4,-55,-93,-91,-64,-43
21,-44,-50,0,-58,-94,-86,-66,-25
22,-37,-42,2,-62,-88,-72,-58,-22
23,-29,-41,-1,-45,-96,-80,-41,-31
24,-33,-55,0,-36,-106,-85,-49,-42
25,-29,-55,3,-45,-87,-96,-55,-33
26,-24,-43,-8,-65,-80,-90,-59,-42
27,-25,-53,-6,-55,-90,-85,-73,-43
28,-21,-62,-5,-34,-85,-102,-74,-38
29,-22,-53,-6,-41,-84,-105,-66,-52
30,-25,-58,-5,-48,-90,-90,-69,-48
31,-29,-59,-6,-39,-84,-83,-68,-40
32,-30,-52,0,-38,-88,-87,-58,-37
33,-42,-66,-1,-38,-96,-89,-66,-40
34,-51,-66,-6,-34,-90,-94,-77,-54
35,-50,-47,8,-36,-82,-82,-69,-57
36,-38,-46,17,-31,-86,-82,-60,-50
37,-38,-58,12,-38,-94,-95,-64,-44
38,-46,-58,4,-58,-97,-93,-68,-45
39,-43,-53,13,-51,-87,-88,-65,-52
40,-45,-45,16,-36,-85,-83,-56,-47
41,-49,-34,6,-33,-77,-75,-45,-36
42,-38,-29,9,-29,-64,-63,-55,-35
43,-23,-30,19,-27,-67,-68,-57,-31
44,-25,-35,10,-35,-73,-70,-53,-37
45,-28,-48,-3,-42,-85,-82,-64,-44
46,-19,-58,-11,-48,-97,-97,-67,-45
47,-11,-58,-15,-53,-96,-95,-67,-46
48,-18,-56,-19,-48,-79,-101,-65,-39
49,-24,-57,-14,-38,-73,-93,-56,-34
50,-20,-55,-13,-38,-80,-84,-60,-44
51,-20,-61,0,-38,-77,-78,-69,-44
52,-23,-69,-5,-42,-84,-72,-60,-41
53,-20,-73,-22,-41,-96,-84,-56,-45
54,-16,-75,-14,-38,-101,-92,-65,-47
55,-9,-66,-6,-44,-98,-90,-62,-40
56,-5,-65,-10,-42,-83,-97,-56,-38
57,-23,-77,-13,-39,-82,-96,-52,-45
58,-28,-71,-10,-43,-85,-86,-58,-44
59,-25,-67,-6,-44,-81,-83,-66,-43
60,-23,-60,-6,-43,-79,-80,-65,-44
61,-15,-48,-11,-38,-79,-90,-61,-43
62,-14,-50,-18,-35,-74,-91,-62,-47
63,-14,-50,-12,-40,-71,-88,-60,-45
64,-19,-53,-3,-40,-72,-90,-57,-35
65,-30,-62,-14,-41,-74,-87,-62,-45
66,-29,-58,-13,-32,-75,-85,-60,-46
67,-17,-48,0,-26,-64,-78,-55,-35
68,-15,-50,1,-31,-68,-74,-50,-37
69,-23,-63,-11,-33,-80,-74,-46,-34
70,-29,-76,-15,-37,-79,-76,-54,-27
71,-17,-70,-8,-38,-71,-82,-59,-35
72,-17,-62,-18,-43,-71,-82,-59,-43
73,-21,-60,-23,-40,-77,-76,-51,-38
74,-20,-61,-34,-40,-77,-71,-51,-33
75,-17,-62,-31,-48,-75,-69,-48,-32
76,-7,-55,-28,-48,-80,-68,-39,-30
77,-9,-53,-25,-41,-75,-63,-43,-27
78,1,-60,-15,-36,-68,-68,-42,-25
79,10,-73,-18,-44,-77,-82,-52,-33
80,-9,-76,-15,-46,-78,-80,-59,-37
81,-27,-75,-15,-48,-92,-89,-52,-44
82,-23,-74,-8,-42,-93,-95,-56,-42
83,-21,-74,0,-43,-79,-94,-58,-39
84,-21,-66,-10,-52,-87,-96,-62,-43
85,-23,-71,-12,-49,-102,-97,-63,-43
86,-38,-83,-15,-46,-117,-93,-68,-44
87,-32,-78,-25,-65,-119,-91,-69,-50
88,-26,-82,-41,-70,-110,-100,-64,-45
89,-35,-86,-37,-58,-98,-96,-63,-44
90,-35,-79,-21,-53,-97,-108,-62,-47
91,-39,-85,-19,-55,-106,-100,-57,-41
92,-40,-93,-1,-55,-114,-92,-62,-31
93,-38,-84,2,-60,-120,-97,-66,-39
94,-40,-83,0,-59,-113,-88,-59,-37
95,-32,-92,-16,-55,-112,-88,-60,-26
96,-19,-85,-20,-69,-104,-93,-61,-32
97,-28,-81,-20,-64,-106,-94,-51,-42
98,-41,-77,-27,-46,-101,-94,-65,-40
99,-40,-69,-21,-56,-101,-88,-66,-31
100,-26,-63,-25,-74,-102,-84,-55,-37
101,-22,-67,-22,-67,-98,-85,-70,-38
102,-25,-75,-25,-59,-99,-92,-66,-44
103,-27,-83,-35,-61,-103,-103,-61,-49
104,-26,-94,-18,-65,-107,-106,-79,-47
105,-25,-79,-4,-72,-109,-102,-76,-47
106,-42,-77,-1,-64,-101,-98,-68,-34
107,-40,-94,-2,-58,-99,-99,-69,-25
108,-33,-88,2,-80,-120,-89,-52,-45
109,-25,-87,0,-73,-121,-81,-43,-46
110,-22,-100,-1,-48,-115,-83,-52,-32
111,-15,-95,-4,-62,-99,-85,-45,-25
112,-11,-80,-8,-69,-95,-84,-51,-22
113,1,-72,-10,-60,-90,-81,-56,-25
114,-7,-73,-24,-54,-89,-61,-48,-37
115,-10,-88,-27,-40,-94,-67,-56,-35
116,0,-85,-17,-43,-95,-75,-52,-43
117,9,-65,-28,-51,-91,-73,-49,-42
118,2,-74,-28,-22,-89,-81,-56,-34
119,0,-70,-32,-15,-87,-80,-51,-35
120,11,-70,-28,-35,-96,-84,-54,-41
121,13,-78,-40,-23,-109,-72,-68,-46
122,10,-85,-58,-24,-111,-69,-73,-49
123,3,-87,-55,-25,-101,-68,-67,-42
124,9,-73,-43,-17,-92,-79,-57,-40
125,30,-35,-35,-19,-84,-83,-47,-24
126,14,-38,-24,-22,-70,-78,-42,-22
127,-4,-35,-29,-16,-77,-78,-47,-25
128,2,-25,-13,-36,-86,-72,-53,-31
129,5,-31,-12,-51,-93,-73,-69,-41
130,0,-37,-19,-45,-98,-85,-71,-35
131,-1,-43,-25,-47,-84,-81,-53,-30
132,0,-26,-13,-41,-84,-90,-47,-31
133,21,-1,4,-35,-81,-89,-44,-7
134,13,-15,6,-53,-69,-69,-40,-15
135,-2,-24,6,-42,-79,-59,-35,-20
136,-2,-15,10,-42,-96,-59,-36,-10
137,5,-15,5,-57,-76,-67,-48,-6
138,3,-13,7,-49,-77,-71,-41,-12
139,7,-13,6,-40,-76,-69,-34,-20
140,13,-15,11,-39,-72,-79,-40,-24
141,18,-21,15,-39,-79,-72,-61,-25
142,12,-29,0,-50,-78,-62,-61,-34
143,4,-39,-9,-47,-77,-52,-54,-39
144,16,-29,-18,-34,-87,-57,-48,-27
145,24,-20,-11,-31,-72,-59,-44,-22
146,18,-16,-13,-42,-57,-67,-40,-22
147,2,-13,-19,-45,-68,-62,-34,-28
148,4,-6,-7,-45,-74,-56,-31,-12
149,13,-3,5,-55,-55,-57,-39,-15
150,9,1,2,-50,-53,-58,-34,-16
151,9,-8,-16,-47,-50,-68,-32,-24
152,2,-15,-3,-38,-49,-67,-42,-21
153,12,-5,5,-36,-50,-65,-45,-19
154,5,-13,4,-49,-50,-65,-53,-30
155,-8,-35,2,-47,-64,-52,-58,-36
156,-16,-40,0,-43,-78,-59,-53,-27
157,-14,-48,5,-47,-69,-58,-58,-28
158,-15,-51,5,-47,-83,-66,-61,-39
159,-15,-54,1,-45,-89,-71,-61,-42
160,-14,-62,-9,-53,-92,-77,-71,-43
161,-7,-61,-2,-62,-91,-79,-84,-49
162,-10,-66,-13,-75,-93,-73,-93,-63
163,-13,-77,-30,-78,-115,-74,-99,-66
164,-2,-85,-30,-79,-123,-86,-99,-60
165,-6,-84,-30,-87,-124,-96,-101,-66
166,-2,-88,-38,-100,-121,-102,-105,-72
167,-17,-100,-43,-101,-132,-99,-104,-81
168,-12,-102,-35,-103,-137,-109,-107,-75
169,-18,-101,-33,-112,-126,-118,-115,-79
170,-19,-92,-29,-114,-124,-114,-118,-84
171,-20,-94,-38,-112,-126,-128,-112,-89
172,-31,-98,-28,-116,-132,-126,-117,-88
173,-35,-95,-31,-114,-130,-120,-119,-91
174,-37,-92,-31,-112,-134,-123,-123,-95
175,-44,-100,-31,-110,-132,-116,-120,-93
176,-52,-100,-22,-105,-136,-124,-111,-83
177,-50,-104,-23,-109,-121,-117,-108,-85
178,-58,-106,-15,-103,-124,-113,-107,-79
179,-56,-109,-18,-104,-123,-117,-114,-85
180,-67,-116,-16,-95,-123,-119,-117,-88
181,-67,-108,-17,-89,-122,-116,-108,-86
182,-69,-111,-13,-98,-118,-113,-111,-90
183,-69,-113,-20,-103,-118,-107,-113,-81
184,-70,-121,-14,-105,-111,-107,-115,-71
185,-74,-120,-9,-105,-117,-106,-118,-77
186,-82,-116,-16,-101,-125,-110,-117,-76
187,-84,-108,-20,-101,-119,-110,-118,-82
188,-70,-105,-15,-98,-113,-103,-113,-82
189,-67,-108,-11,-91,-116,-96,-114,-75
190,-66,-105,-5,-91,-108,-97,-118,-77
191,-60,-107,-3,-93,-113,-98,-125,-77
192,-69,-109,-3,-91,-116,-100,-121,-80
193,-70,-102,-10,-103,-113,-108,-120,-86
194,-67,-107,-1,-94,-105,-101,-108,-82
195,-69,-110,-5,-81,-104,-98,-96,-78
196,-63,-99,-19,-77,-111,-94,-109,-94
197,-63,-92,2,-76,-95,-88,-109,-72
198,-60,-85,12,-84,-94,-79,-87,-63
199,-52,-74,1,-92,-106,-80,-95,-54
200,-68,-108,14,-46,-86,-65,-107,-54
201,-52,-105,29,-23,-85,-61,-102,-82
202,-54,-96,27,-25,-52,-73,-110,-72
203,-53,-124,36,-12,-30,-65,-104,-80
204,-80,-111,76,26,-57,-66,-114,-111
205,-56,-127,90,52,-34,-44,-99,-102
206,-78,-158,139,131,12,-47,-114,-117
207,-44,-135,163,186,26,-4,-99,-110
208,-7,-124,172,287,81,46,-71,-99
209,28,-119,129,331,113,106,-2,-14
210,62,-77,98,289,164,150,75,19
211,121,-9,59,359,212,222,127,78
212,224,68,9,263,264,273,253,195
213,267,151,-58,150,281,402,406,312
214,329,275,-150,16,312,490,545,445
215,366,400,-270,-186,298,581,673,582
216,401,588,-368,-386,273,686,807,701
217,451,740,-506,-589,266,758,930,834
218,516,886,-630,-856,256,885,1086,973
219,526,1046,-699,-1016,222,939,1170,1085
220,477,1108,-759,-1098,194,933,1235,1147
221,418,1111,-774,-1210,182,892,1176,1154
222,337,1050,-729,-1239,81,798,1067,1025
223,264,884,-711,-1277,-69,559,836,863
224,173,671,-667,-1325,-352,276,551,679
225,45,444,-613,-1329,-643,-104,230,454
226,-65,220,-616,-1388,-889,-417,-44,236
227,-112,111,-540,-1320,-1004,-616,-215,70
228,-122,22,-509,-1164,-981,-680,-292,4
229,-117,-64,-437,-1026,-898,-646,-301,-48
230,-91,-138,-431,-871,-770,-593,-295,-76
231,-130,-161,-350,-773,-670,-546,-278,-106
232,-131,-150,-291,-670,-600,-467,-276,-101
233,-135,-146,-234,-548,-466,-358,-244,-116
234,-107,-147,-182,-421,-367,-277,-207,-64
235,-105,-125,-133,-322,-298,-206,-153,-71
236,-91,-96,-102,-241,-200,-154,-142,-75
237,-104,-127,-72,-190,-172,-119,-109,-65
238,-89,-118,-47,-129,-153,-117,-119,-63
239,-72,-105,-21,-106,-113,-102,-96,-70
240,-51,-110,-20,-77,-89,-80,-79,-56
241,-31,-99,-13,-50,-90,-100,-64,-38
242,-43,-102,0,-53,-79,-79,-54,-50
243,-50,-97,7,-44,-80,-85,-57,-49
244,-30,-97,39,-29,-87,-92,-53,-34
245,-42,-82,31,-26,-79,-85,-41,-36
246,-46,-90,36,-21,-56,-75,-44,-25
247,-47,-80,32,0,-47,-59,-40,-26
248,-35,-67,38,3,-42,-60,-40,-21
249,-44,-86,40,4,-37,-51,-43,-23
250,-57,-90,30,8,-38,-51,-51,-25
251,-53,-95,31,4,-30,-51,-45,-27
252,-51,-92,41,15,-32,-46,-34,-21
253,-51,-68,47,28,-18,-42,-24,-16
254,-53,-76,49,28,-2,-45,-23,-25
255,-45,-81,43,40,-1,-43,-20,-14
256,-44,-83,49,28,1,-40,-20,-16
257,-48,-81,62,35,12,-33,-27,-20
258,-51,-88,66,60,10,-35,-36,2
259,-39,-86,53,49,13,-30,-30,0
260,-38,-79,55,50,19,-9,-16,0
261,-37,-84,73,62,13,-1,-12,4
262,-41,-96,79,60,8,-6,-5,-2
263,-50,-100,75,58,1,-12,-8,-5
264,-43,-98,61,50,0,-22,-14,-21
265,-33,-79,76,58,20,-11,-11,-9
266,-33,-76,72,67,44,-1,-7,2
267,-31,-78,69,71,47,-7,-10,-7
268,-23,-77,75,73,29,0,-12,-1
269,-13,-87,77,68,26,1,-12,-1
270,-16,-85,80,80,32,5,4,14
271,-22,-82,66,80,44,3,14,18
272,-14,-77,74,89,41,5,9,8
273,-14,-70,87,96,36,8,8,7
274,-22,-69,73,91,46,1,6,0
275,-24,-60,62,100,46,4,1,1
276,-16,-63,50,94,44,19,5,0
277,-12,-75,54,92,53,23,0,-6
278,-16,-78,56,111,42,0,-5,10
279,-21,-79,43,116,48,-3,0,9
280,-18,-75,53,124,57,6,1,4
281,-18,-63,72,129,54,12,3,1
282,-21,-69,79,127,52,26,8,7
283,-17,-72,69,137,38,28,11,13
284,-13,-66,53,128,36,17,13,3
285,-1,-51,58,120,59,17,8,25
286,7,-41,58,126,81,22,17,39
287,-8,-44,49,129,76,25,25,18
288,-13,-52,58,131,78,34,15,30
289,-2,-59,64,132,79,27,6,19
290,-5,-56,67,141,69,32,17,4
291,-7,-61,58,147,71,31,29,27
292,4,-63,54,148,68,29,24,23
293,2,-56,68,152,62,21,16,15
294,-6,-68,64,142,62,9,6,21
295,-12,-56,48,145,65,19,5,10
296,-17,-63,36,151,72,39,2,0
297,-9,-84,54,155,88,42,2,12
298,-2,-54,72,165,79,28,22,23
299,-15,-46,62,170,62,30,29,27
300,-19,-78,62,169,63,43,16,25
301,-10,-69,67,161,69,39,14,12
302,5,-63,64,158,66,26,17,14
303,5,-70,47,164,65,21,16,20
304,-3,-65,47,167,83,29,15,12
305,-1,-65,73,181,90,35,24,11
306,0,-59,75,195,84,54,28,26
307,-10,-43,77,199,94,55,22,35
308,3,-44,86,195,99,54,34,30
309,9,-41,73,200,96,47,37,24
310,8,-28,74,213,102,41,37,30
311,13,-27,73,217,105,46,47,33
312,19,-40,60,210,107,56,34,33
313,17,-56,67,205,120,70,28,32
314,17,-49,65,219,120,74,46,48
315,17,-34,68,236,124,67,54,55
316,18,-44,82,248,131,85,59,49
317,23,-36,81,248,124,86,72,56
318,20,-43,87,247,126,84,78,54
319,4,-49,82,257,133,85,72,52
320,10,-52,78,261,146,91,71,55
321,0,-68,73,264,148,106,78,44
322,5,-55,73,276,134,111,78,57
323,17,-48,84,285,151,125,83,63
324,24,-52,80,297,169,134,84,66
325,30,-37,78,300,159,117,94,66
326,33,-31,83,306,159,122,97,73
327,36,-22,82,314,158,119,101,87
328,42,-8,71,324,173,125,106,85
329,41,5,68,337,192,135,116,90
330,47,2,80,358,211,150,138,98
331,54,-2,73,371,218,171,155,118
332,70,-2,79,393,231,188,169,132
333,85,4,84,395,243,206,178,137
334,74,-14,86,394,244,216,185,152
335,71,-7,78,391,235,214,200,150
336,83,4,77,400,232,226,200,163
337,82,10,82,408,233,237,214,182
338,77,28,64,412,263,240,222,172
339,78,45,72,421,274,247,238,183
340,88,53,76,436,276,260,252,193
341,100,54,72,443,277,268,259,209
342,115,53,60,458,287,278,263,221
343,129,61,59,453,292,291,275,224
344,129,64,65,460,296,295,287,244
345,132,72,65,458,292,309,304,255
346,158,91,65,473,303,315,320,275
347,170,100,63,483,295,326,336,294
348,171,111,45,480,325,343,346,292
349,173,115,52,485,330,350,355,294
350,179,124,48,491,327,354,358,307
351,183,115,38,491,328,353,360,313
352,191,117,27,501,348,356,356,315
353,198,122,37,502,358,370,370,312
354,194,123,36,515,371,379,380,321
355,191,113,38,513,364,382,385,324
356,206,118,41,506,350,377,391,331
357,209,121,39,512,343,384,395,336
358,198,121,29,504,360,387,394,339
359,194,117,37,506,371,401,398,336
360,193,129,44,516,368,401,394,341
361,190,111,45,513,366,410,387,332
362,184,106,36,505,381,411,390,323
363,188,101,37,506,387,403,395,310
364,187,106,26,505,384,408,390,312
365,178,92,33,490,380,403,378,311
366,174,97,36,473,371,378,380,310
367,178,115,29,469,366,368,369,293
368,167,104,27,464,377,375,359,280
369,155,86,42,456,379,370,346,272
370,149,83,50,440,359,355,327,266
371,142,60,47,434,343,345,303,248
372,126,46,41,425,331,324,290,232
373,111,40,46,415,321,306,280,220
374,109,26,41,393,310,297,272,210
375,107,13,41,379,292,283,251,195
376,83,-1,35,355,262,255,238,176
377,70,-13,43,335,255,250,223,166
378,65,-22,44,313,250,245,213,153
379,60,-27,58,305,249,241,198,144
380,54,-37,60,291,222,228,183,141
381,41,-55,61,269,208,206,161,119
382,32,-66,64,260,197,188,144,103
383,32,-73,53,248,173,164,138,90
384,27,-80,44,226,153,157,129,71
385,13,-96,48,213,145,149,119,71
386,10,-101,46,185,117,131,103,61
387,7,-104,47,167,110,123,85,50
388,4,-118,38,168,106,114,82,43
389,-7,-123,31,162,107,97,74,30
390,0,-118,37,145,93,82,58,16
391,-5,-116,45,138,87,64,35,7
392,-19,-118,48,127,78,55,20,2
393,-43,-130,44,121,66,52,14,-4
394,-40,-125,64,127,60,57,16,-3
395,-39,-122,54,118,58,62,14,-10
396,-51,-134,44,109,45,61,11,-25
397,-50,-142,43,109,43,53,16,-26
398,-46,-152,34,92,28,40,6,-30
399,-55,-161,29,81,31,39,0,-40
400,-57,-159,21,85,27,38,-2,-33
401,-47,-148,18,84,40,46,0,-31
402,-54,-144,27,84,36,53,3,-37
403,-59,-146,23,87,29,45,2,-33
404,-54,-149,26,83,34,45,1,-39
405,-66,-153,20,81,34,47,3,-42
406,-64,-149,23,75,28,43,-2,-37
407,-56,-139,30,70,34,43,-5,-41
408,-56,-135,28,74,29,46,-2,-33
409,-51,-141,25,71,26,36,-5,-31
410,-50,-145,29,72,25,37,-5,-42
411,-62,-147,25,74,23,36,-12,-53
412,-58,-149,28,80,30,34,-19,-52
413,-55,-143,20,83,29,40,-12,-50
414,-57,-143,11,75,24,44,-17,-56
415,-60,-150,22,77,20,43,-23,-55
416,-64,-156,16,73,16,41,-11,-49
417,-68,-167,10,61,16,37,-17,-57
418,-72,-163,5,58,0,35,-14,-59
419,-76,-154,11,70,19,45,-1,-60
420,-70,-147,29,89,32,52,-3,-53
421,-68,-143,30,88,30,59,4,-48
422,-73,-152,28,81,33,66,0,-48
423,-71,-165,25,78,32,60,-10,-54
424,-68,-155,17,85,19,60,-4,-54
425,-69,-151,7,76,16,54,-7,-51
426,-69,-158,3,63,24,50,-15,-52
427,-72,-155,-3,64,17,50,-2,-57
428,-78,-154,-1,74,21,42,-5,-57
429,-89,-156,6,72,25,44,-16,-55
430,-80,-160,0,59,17,46,-17,-65
