,I,II,v1,v2,v3,v4,v5,v6
0,15,48,-64,110,80,182,127,-23
1,56,106,34,61,155,233,197,81
2,52,134,-3,105,193,277,262,183
3,98,113,-32,67,232,228,231,155
4,181,114,49,88,224,261,191,195
5,160,198,-32,38,130,132,191,139
6,134,184,19,37,234,86,86,165
7,158,150,18,41,166,51,96,234
8,141,251,-5,-42,61,18,149,156
9,22,130,34,-40,-26,99,107,150
10,14,66,8,43,-14,69,119,172
11,17,48,20,54,78,90,113,137
12,22,71,-46,0,42,78,84,103
13,19,70,-54,0,27,64,84,66
14,-24,73,-58,1,4,53,40,78
15,-26,65,-27,-4,-9,72,39,78
16,-11,93,11,-3,-2,92,72,87
17,8,78,-11,-23,-21,51,29,71
18,-15,36,10,-11,-1,73,20,53
19,7,36,6,-2,-24,22,34,46
20,-6,35,-2,-15,-51,8,7,9
21,-38,13,4,-23,-63,8,-19,0
22,-22,-15,-3,-36,-49,0,-24,-12
23,-25,-35,-11,-39,-55,1,-37,-19
24,-36,-48,-30,-62,-80,4,-20,-18
25,-14,-50,-46,-74,-65,-12,-14,-17
26,-11,-38,-70,-69,-68,-25,-8,-10
27,-34,-7,-41,-89,-66,-23,-6,-11
28,-31,-12,-16,-86,-58,-33,-8,17
29,-52,-18,-33,-95,-68,-45,-15,0
30,-41,-10,-15,-95,-84,-40,-31,-6
31,-48,-19,-23,-107,-73,-61,-36,-4
32,-73,-18,-29,-103,-56,-54,-36,-22
33,-77,-27,-27,-100,-80,-52,-40,-24
34,-82,-29,-36,-110,-85,-72,-47,-26
35,-107,-12,-35,-125,-101,-57,-51,-22
36,-101,-14,-50,-135,-119,-61,-63,-12
37,-109,-23,-48,-141,-121,-59,-54,-16
38,-102,-14,-61,-141,-136,-67,-44,-5
39,-98,-30,-60,-143,-133,-63,-51,-13
40,-96,-34,-55,-134,-113,-65,-60,-17
41,-93,-34,-58,-136,-121,-77,-60,-6
42,-97,-42,-56,-140,-106,-63,-64,-11
43,-95,-37,-51,-141,-123,-76,-56,-14
44,-97,-43,-60,-154,-120,-69,-60,-22
45,-110,-51,-68,-159,-126,-57,-62,-19
46,-97,-55,-70,-170,-127,-67,-59,-19
47,-88,-69,-69,-178,-129,-73,-58,-15
48,-83,-58,-89,-186,-129,-77,-61,-18
49,-85,-59,-77,-184,-117,-71,-54,-18
50,-79,-51,-75,-176,-110,-64,-51,-16
51,-74,-44,-75,-177,-117,-73,-59,-13
52,-73,-45,-74,-177,-115,-62,-59,-23
53,-69,-49,-79,-171,-124,-77,-48,-21
54,-70,-51,-81,-175,-123,-79,-51,-32
55,-75,-57,-80,-183,-118,-84,-62,-32
56,-71,-62,-85,-189,-114,-91,-57,-33
57,-71,-61,-83,-188,-111,-91,-58,-36
58,-74,-66,-86,-184,-106,-93,-61,-38
59,-78,-61,-84,-184,-97,-93,-57,-35
60,-79,-50,-78,-190,-98,-88,-57,-35
61,-74,-42,-73,-187,-103,-90,-62,-28
62,-76,-44,-75,-189,-108,-87,-62,-27
63,-82,-46,-77,-186,-113,-89,-60,-32
64,-79,-45,-84,-184,-116,-89,-64,-37
65,-75,-45,-77,-186,-112,-92,-67,-33
66,-74,-45,-81,-184,-108,-97,-64,-39
67,-74,-48,-80,-175,-111,-96,-63,-38
68,-68,-51,-83,-180,-108,-91,-64,-41
69,-63,-49,-78,-182,-108,-91,-69,-41
70,-63,-56,-81,-185,-107,-90,-67,-40
71,-59,-56,-81,-189,-111,-95,-67,-42
72,-57,-54,-81,-185,-110,-98,-68,-40
73,-58,-55,-72,-185,-109,-103,-69,-40
74,-54,-54,-69,-188,-111,-104,-74,-45
75,-59,-63,-68,-184,-116,-110,-76,-45
76,-61,-70,-73,-186,-123,-107,-83,-56
77,-58,-73,-71,-187,-124,-109,-84,-54
78,-57,-74,-80,-190,-127,-113,-81,-61
79,-58,-75,-83,-191,-130,-114,-79,-56
80,-52,-80,-91,-197,-134,-118,-82,-57
81,-50,-78,-87,-199,-136,-115,-83,-60
82,-46,-77,-91,-209,-141,-116,-82,-56
83,-51,-77,-95,-209,-141,-115,-80,-55
84,-42,-73,-92,-200,-139,-115,-81,-52
85,-35,-74,-90,-200,-133,-120,-80,-52
86,-37,-72,-86,-201,-124,-116,-76,-59
87,-35,-68,-88,-198,-127,-120,-74,-56
88,-32,-68,-85,-195,-128,-112,-78,-56
89,-36,-69,-86,-199,-130,-112,-77,-55
90,-38,-69,-89,-202,-132,-112,-73,-54
91,-40,-71,-90,-203,-133,-114,-70,-54
92,-37,-72,-87,-202,-140,-124,-71,-56
93,-40,-72,-88,-201,-137,-123,-69,-53
94,-42,-72,-89,-202,-136,-122,-67,-49
95,-41,-68,-86,-199,-136,-123,-61,-52
96,-41,-67,-83,-194,-136,-115,-61,-48
97,-39,-66,-82,-190,-127,-103,-60,-41
98,-38,-62,-81,-183,-125,-104,-58,-36
99,-41,-61,-83,-185,-129,-110,-58,-36
100,-41,-60,-81,-177,-125,-107,-56,-32
101,-39,-60,-78,-178,-125,-98,-50,-36
102,-37,-62,-75,-183,-116,-97,-46,-36
103,-38,-63,-78,-185,-120,-93,-47,-29
104,-40,-59,-86,-186,-125,-95,-47,-23
105,-38,-58,-83,-186,-124,-97,-36,-21
106,-39,-60,-84,-187,-123,-94,-33,-16
107,-39,-63,-85,-185,-122,-86,-35,-20
108,-36,-64,-89,-184,-120,-83,-35,-16
109,-29,-70,-86,-187,-117,-87,-34,-17
110,-33,-67,-84,-177,-113,-85,-29,-14
111,-38,-68,-81,-178,-117,-80,-21,-13
112,-35,-66,-71,-180,-118,-80,-18,-10
113,-34,-58,-74,-183,-117,-79,-25,-8
114,-32,-62,-81,-187,-113,-79,-30,-10
115,-38,-69,-79,-188,-124,-86,-28,-15
116,-44,-64,-81,-189,-129,-86,-27,-18
117,-44,-73,-82,-192,-125,-85,-37,-18
118,-37,-73,-83,-192,-124,-89,-38,-20
119,-51,-75,-77,-196,-133,-101,-43,-25
120,-59,-75,-77,-194,-136,-105,-44,-21
121,-59,-64,-79,-195,-143,-101,-40,-32
122,-52,-67,-80,-194,-148,-104,-47,-33
123,-63,-77,-87,-202,-153,-103,-51,-30
124,-61,-76,-94,-213,-149,-107,-54,-29
125,-54,-80,-93,-208,-146,-109,-50,-27
126,-53,-77,-100,-209,-150,-105,-48,-24
127,-62,-70,-96,-212,-155,-100,-42,-27
128,-66,-85,-85,-203,-146,-100,-42,-17
129,-58,-92,-90,-204,-150,-108,-39,-12
130,-51,-86,-89,-214,-161,-107,-34,-21
131,-59,-94,-83,-210,-153,-102,-33,-21
132,-59,-98,-89,-207,-147,-98,-40,-18
133,-55,-105,-95,-215,-151,-94,-43,-24
134,-57,-104,-97,-216,-148,-90,-42,-22
135,-49,-95,-93,-217,-153,-90,-35,-13
136,-44,-89,-97,-217,-151,-95,-31,-19
137,-47,-98,-90,-219,-155,-103,-30,-17
138,-46,-100,-96,-223,-165,-100,-31,-13
139,-53,-106,-98,-226,-172,-99,-32,-22
140,-48,-112,-89,-218,-171,-102,-39,-18
141,-40,-112,-93,-224,-167,-108,-39,-16
142,-45,-113,-101,-227,-159,-111,-38,-23
143,-45,-123,-99,-226,-169,-115,-35,-23
144,-50,-129,-97,-233,-170,-116,-40,-23
145,-64,-129,-101,-236,-172,-106,-38,-27
146,-59,-129,-101,-230,-173,-107,-43,-14
147,-48,-127,-96,-232,-161,-109,-39,-13
148,-53,-121,-95,-236,-162,-109,-30,-21
149,-48,-122,-95,-233,-167,-104,-30,-16
150,-46,-127,-86,-228,-172,-105,-36,-15
151,-57,-135,-96,-234,-176,-110,-44,-21
152,-57,-134,-100,-237,-172,-109,-51,-24
153,-51,-132,-101,-225,-170,-108,-45,-26
154,-53,-130,-104,-229,-167,-108,-42,-36
155,-53,-134,-96,-228,-167,-105,-49,-32
156,-54,-134,-97,-227,-164,-110,-43,-30
157,-53,-126,-97,-235,-163,-118,-45,-33
158,-49,-122,-92,-232,-166,-112,-45,-25
159,-50,-112,-95,-226,-151,-108,-41,-31
160,-49,-108,-91,-226,-144,-107,-45,-31
161,-41,-111,-95,-225,-149,-110,-49,-28
162,-50,-112,-93,-221,-150,-109,-47,-35
163,-52,-116,-85,-222,-151,-106,-47,-31
164,-49,-122,-85,-220,-154,-108,-44,-33
165,-51,-124,-89,-219,-151,-115,-49,-33
166,-57,-130,-92,-228,-159,-117,-53,-32
167,-60,-125,-95,-223,-160,-114,-46,-34
168,-62,-127,-92,-225,-161,-117,-49,-37
169,-58,-128,-89,-230,-161,-112,-56,-36
170,-57,-128,-99,-234,-160,-116,-55,-34
171,-57,-130,-100,-232,-155,-117,-55,-35
172,-53,-127,-98,-228,-157,-110,-56,-31
173,-50,-124,-101,-224,-156,-107,-54,-34
174,-48,-124,-98,-220,-150,-104,-55,-36
175,-47,-125,-94,-223,-153,-104,-58,-34
176,-48,-123,-89,-225,-152,-109,-51,-40
177,-49,-121,-91,-226,-155,-113,-51,-37
178,-46,-122,-92,-228,-161,-111,-56,-38
179,-49,-127,-94,-227,-158,-114,-56,-41
180,-52,-126,-99,-230,-157,-114,-61,-41
181,-45,-126,-95,-230,-154,-116,-65,-41
182,-48,-125,-93,-227,-155,-117,-60,-46
183,-49,-123,-93,-229,-158,-116,-58,-45
184,-49,-127,-95,-225,-163,-117,-59,-41
185,-50,-121,-101,-223,-164,-119,-53,-40
186,-47,-123,-97,-226,-163,-118,-53,-36
187,-48,-129,-98,-221,-156,-106,-53,-35
188,-47,-124,-101,-225,-155,-109,-51,-39
189,-40,-124,-99,-228,-155,-109,-58,-36
190,-43,-126,-96,-223,-151,-109,-56,-32
191,-51,-121,-97,-225,-155,-113,-48,-36
192,-50,-116,-93,-222,-156,-111,-51,-31
193,-44,-109,-94,-212,-148,-107,-51,-28
194,-38,-106,-96,-220,-144,-103,-51,-35
195,-42,-114,-91,-219,-150,-100,-53,-34
196,-50,-117,-90,-213,-150,-103,-50,-30
197,-43,-114,-100,-222,-145,-103,-51,-30
198,-41,-116,-102,-221,-141,-101,-48,-30
199,-45,-114,-99,-219,-135,-103,-44,-33
200,-46,-111,-94,-221,-133,-108,-46,-32
201,-43,-113,-94,-214,-140,-102,-47,-30
202,-45,-116,-90,-217,-150,-98,-49,-33
203,-53,-118,-92,-224,-150,-98,-51,-32
204,-51,-119,-94,-220,-146,-98,-49,-29
205,-39,-117,-96,-213,-136,-105,-50,-28
206,-43,-111,-97,-218,-136,-107,-49,-35
207,-51,-103,-97,-211,-147,-99,-46,-39
208,-50,-108,-94,-204,-149,-96,-54,-32
209,-45,-114,-88,-212,-145,-94,-55,-29
210,-40,-111,-93,-214,-146,-96,-44,-27
211,-38,-118,-96,-210,-135,-93,-48,-30
212,-39,-118,-88,-203,-130,-95,-46,-28
213,-32,-109,-94,-202,-134,-100,-39,-28
214,-39,-117,-92,-202,-128,-94,-46,-30
215,-41,-114,-91,-204,-128,-89,-37,-24
216,-41,-108,-90,-209,-130,-85,-28,-22
217,-39,-116,-83,-204,-118,-83,-39,-16
218,-38,-114,-81,-202,-128,-87,-34,-18
219,-39,-114,-90,-202,-135,-91,-33,-27
220,-42,-121,-85,-195,-132,-90,-42,-22
221,-43,-112,-82,-202,-127,-85,-42,-22
222,-44,-100,-91,-207,-120,-89,-38,-24
223,-46,-102,-91,-202,-114,-83,-41,-22
224,-44,-94,-92,-199,-116,-80,-40,-21
225,-42,-91,-90,-197,-122,-80,-41,-22
226,-45,-98,-88,-195,-126,-78,-43,-20
227,-33,-88,-95,-202,-126,-82,-42,-21
228,-29,-93,-97,-205,-120,-83,-37,-22
229,-31,-100,-95,-201,-118,-80,-37,-19
230,-34,-100,-87,-205,-121,-87,-39,-18
231,-37,-108,-97,-200,-127,-88,-42,-22
232,-36,-114,-95,-198,-133,-85,-50,-26
233,-34,-110,-86,-198,-125,-82,-50,-25
234,-33,-108,-92,-206,-116,-77,-44,-32
