,I,II,v1,v2,v3,v4,v5,v6
0,-60,-127,37,1,-53,-97,-117,-83
1,-89,-119,30,-10,-72,-92,-108,-85
2,-72,-111,14,-37,-72,-104,-123,-74
3,-74,-106,2,-47,-66,-108,-132,-80
4,-53,-93,2,-57,-53,-89,-129,-69
5,-47,-92,5,-57,-63,-102,-128,-79
6,-43,-80,21,-36,-56,-102,-133,-71
7,-51,-67,15,-24,-68,-111,-138,-64
8,-40,-63,25,-28,-63,-111,-148,-85
9,-64,-58,38,-17,-66,-116,-132,-91
10,-66,-50,64,-8,-58,-105,-121,-82
11,-44,-89,71,11,-41,-82,-128,-76
12,-70,-84,69,13,-67,-87,-115,-100
13,-49,-92,68,0,-58,-95,-122,-96
14,-62,-106,48,24,-66,-94,-120,-91
15,-62,-101,59,18,-51,-84,-96,-90
16,-58,-98,51,13,-47,-78,-93,-76
17,-54,-102,33,13,-50,-66,-93,-79
18,-74,-119,43,3,-45,-67,-93,-76
19,-58,-116,44,-14,-43,-90,-79,-53
20,-64,-113,33,-16,-51,-97,-76,-55
21,-85,-101,31,-21,-60,-99,-85,-63
22,-73,-113,33,-32,-45,-107,-105,-53
23,-96,-97,27,-30,-52,-95,-109,-70
24,-79,-90,30,-37,-59,-93,-131,-67
25,-72,-102,10,-28,-66,-89,-137,-55
26,-62,-84,0,-38,-57,-85,-123,-70
27,-73,-80,21,-32,-76,-83,-139,-81
28,-71,-103,13,-15,-60,-92,-147,-74
29,-77,-92,23,8,-65,-94,-149,-99
30,-106,-116,74,70,-53,-113,-182,-112
31,-102,-138,100,168,2,-116,-173,-155
32,-80,-124,120,147,28,-73,-139,-161
33,-60,-140,118,185,80,-66,-140,-162
34,-101,-206,167,248,140,-40,-164,-211
35,-103,-214,176,264,170,-45,-134,-195
36,-119,-187,203,296,207,-5,-99,-164
37,-137,-98,236,364,233,76,-18,-143
38,-66,-40,257,371,333,157,16,-135
39,-30,-15,227,389,384,189,54,-54
40,59,37,176,374,399,299,129,51
41,196,161,165,405,461,353,207,150
42,304,275,109,340,557,479,381,305
43,415,333,31,215,518,642,554,453
44,439,390,-93,85,450,739,713,618
45,465,518,-238,-184,242,743,894,761
46,535,655,-355,-382,58,749,1035,907
47,593,639,-426,-573,-82,767,1158,1044
48,577,589,-485,-735,-282,705,1270,1195
49,559,617,-542,-927,-441,632,1300,1225
50,458,552,-592,-1087,-755,465,1265,1203
51,384,496,-606,-1289,-976,384,1191,1197
52,238,492,-621,-1386,-1170,231,1012,1094
53,73,388,-578,-1482,-1271,105,883,988
54,-10,334,-589,-1568,-1460,-127,645,876
55,-121,187,-550,-1522,-1586,-374,352,677
56,-174,72,-536,-1438,-1598,-599,70,462
57,-196,-5,-511,-1413,-1587,-801,-152,277
58,-219,-6,-475,-1276,-1478,-901,-276,159
59,-175,-58,-479,-1234,-1371,-871,-419,54
60,-121,-76,-432,-1094,-1189,-843,-424,10
61,-149,-95,-450,-1012,-1107,-839,-439,-48
62,-128,-131,-431,-938,-971,-748,-446,-150
63,-109,-155,-410,-776,-818,-677,-497,-179
64,-83,-182,-351,-683,-740,-631,-436,-181
65,-122,-161,-272,-545,-663,-564,-416,-160
66,-132,-117,-203,-500,-580,-486,-390,-234
67,-163,-97,-161,-380,-461,-426,-326,-209
68,-173,-98,-121,-318,-380,-291,-280,-170
69,-160,-82,-73,-294,-273,-269,-263,-173
70,-131,-45,-42,-254,-248,-231,-229,-183
71,-106,-7,-38,-167,-234,-241,-200,-172
72,-115,-26,-52,-140,-177,-222,-211,-194
73,-76,19,-24,-105,-150,-227,-179,-155
74,-49,13,-22,-94,-127,-207,-172,-156
75,-43,5,-18,-63,-101,-151,-168,-130
76,-35,-3,-16,-44,-64,-143,-131,-93
77,-32,-5,-3,-11,-23,-118,-130,-99
78,-27,-2,25,25,-17,-120,-110,-70
79,-31,-19,42,32,7,-104,-78,-47
80,-41,-15,61,44,20,-78,-69,-46
81,-40,-15,86,43,34,-61,-75,-50
82,-56,-11,76,40,54,-51,-71,-57
83,-66,-18,65,31,42,-54,-64,-50
84,-47,-14,34,26,38,-58,-76,-51
85,-41,-13,50,22,57,-43,-68,-60
86,-30,-8,27,37,68,-44,-62,-46
87,-53,-26,38,30,61,-31,-69,-64
88,-48,-24,41,47,47,-22,-71,-44
89,-50,-23,28,61,40,-16,-64,-49
90,-37,-20,27,68,56,-12,-60,-58
91,-40,-17,33,68,59,-21,-59,-60
92,-43,-28,29,69,64,-27,-65,-66
93,-42,-35,30,67,57,-18,-67,-76
94,-45,-41,23,74,64,-17,-67,-74
95,-53,-42,18,69,66,-13,-65,-67
96,-52,-47,17,55,71,-1,-59,-61
97,-52,-51,22,63,76,-1,-51,-63
98,-45,-59,30,78,62,-13,-51,-53
99,-64,-72,26,74,50,-14,-45,-61
100,-70,-83,33,63,57,-12,-58,-65
101,-60,-79,45,63,66,-13,-59,-68
102,-64,-76,33,60,61,-7,-59,-71
103,-78,-80,32,58,57,-3,-57,-69
104,-76,-68,27,57,69,-3,-55,-66
105,-70,-51,34,54,81,12,-47,-60
106,-60,-44,39,72,91,19,-32,-51
107,-68,-41,44,74,94,21,-26,-52
108,-65,-48,54,68,90,27,-30,-48
109,-57,-70,47,61,85,23,-33,-49
110,-66,-74,44,62,83,23,-34,-52
111,-75,-76,42,63,85,18,-33,-56
112,-68,-82,44,63,82,20,-39,-62
