,I,II,v1,v2,v3,v4,v5,v6
0,-72,1,-1,78,-6,19,-51,-9
1,-67,-35,-2,74,-27,28,-47,-12
2,-19,-86,-11,88,0,-17,-16,-2
3,-35,-179,-12,68,7,-39,-33,-27
4,-29,-200,24,83,0,-55,-65,-24
5,-32,-189,15,61,-38,-84,-27,-39
6,-50,-207,0,22,-6,-35,-67,-6
7,-58,-214,9,32,9,-35,-59,9
8,-53,-149,-32,7,-7,-40,-41,-24
9,-96,-159,-11,29,-41,-27,-17,-18
10,-88,-152,-4,83,-48,-44,-30,-5
11,-86,-152,8,80,5,-26,20,4
12,-70,-137,0,94,7,-5,15,21
13,-57,-141,-13,86,16,6,-7,34
14,-67,-144,-12,69,27,9,23,23
15,-48,-152,-26,68,5,14,13,1
16,-29,-167,-1,88,23,0,5,19
17,-36,-180,-9,70,-3,-26,4,15
18,-57,-207,4,62,26,-18,-15,17
19,-53,-196,21,89,32,-26,-2,4
20,-66,-181,10,78,26,-7,10,-3
21,-89,-204,12,80,17,-10,0,15
22,-74,-202,15,82,8,-3,0,17
23,-66,-202,21,81,4,-6,10,1
24,-72,-228,13,96,-4,-27,4,2
25,-67,-225,22,89,18,-27,7,4
26,-63,-227,20,76,22,-35,3,2
27,-81,-253,10,87,1,-22,-7,1
28,-91,-260,16,96,15,-21,-13,5
29,-95,-250,29,90,14,-22,1,-5
30,-93,-250,28,84,7,-20,0,0
31,-78,-235,32,79,24,-26,1,19
32,-72,-236,37,81,20,-17,21,23
33,-74,-245,29,88,0,-26,18,14
34,-88,-258,31,87,1,-26,-8,3
35,-96,-254,36,78,-6,-21,-13,-4
36,-80,-249,35,81,-2,-32,-3,2
37,-88,-260,41,81,3,-28,-1,9
38,-87,-253,41,78,8,-32,5,5
39,-86,-245,49,82,7,-30,13,8
40,-83,-244,59,93,4,-23,13,19
41,-83,-227,56,93,3,-30,20,22
42,-84,-226,48,86,10,-17,11,22
43,-69,-223,47,87,8,-19,14,29
44,-63,-218,40,86,1,-22,19,25
45,-72,-228,47,85,-3,-22,14,27
46,-68,-239,55,98,-2,-35,17,28
47,-65,-236,53,97,-4,-28,21,23
48,-66,-244,58,92,5,-21,23,25
49,-70,-251,59,99,4,-17,23,30
50,-74,-250,59,96,-1,-22,17,26
51,-75,-257,64,92,-9,-26,18,24
52,-77,-251,58,93,-19,-26,25,30
53,-74,-237,67,93,-13,-22,39,37
54,-61,-234,73,97,-6,-15,43,42
55,-50,-233,75,99,-3,-14,46,50
56,-51,-228,75,104,1,-11,52,50
57,-59,-225,75,106,2,-10,55,52
58,-52,-216,80,111,4,-3,47,49
59,-52,-218,78,106,3,-1,37,47
60,-51,-219,77,99,16,-5,41,52
61,-48,-219,79,95,2,-13,40,49
62,-55,-224,72,96,-4,-17,36,38
63,-55,-230,77,89,-1,-21,38,38
64,-48,-230,82,90,-8,-26,43,46
65,-57,-232,77,89,-18,-25,45,50
66,-60,-240,75,78,-17,-14,41,56
67,-55,-241,71,89,-15,-3,55,48
68,-55,-246,67,91,-18,-12,54,43
69,-57,-256,72,71,-14,-15,51,60
70,-55,-243,76,73,-14,-17,59,67
71,-53,-240,74,79,-13,-16,65,58
72,-55,-241,76,80,-8,-5,59,59
73,-57,-228,78,87,-5,0,65,60
74,-50,-227,77,84,0,3,59,54
75,-37,-235,81,80,3,3,51,68
76,-44,-226,86,94,3,-2,68,67
77,-52,-222,74,85,-7,-5,75,60
78,-49,-221,74,83,-7,8,70,67
79,-41,-217,69,87,-5,18,73,70
80,-34,-219,63,75,5,7,79,70
81,-40,-224,68,81,7,8,80,70
82,-39,-220,79,104,-1,-5,71,70
83,-33,-224,84,91,0,-13,68,74
84,-41,-236,93,79,11,-1,71,72
85,-38,-217,80,84,4,-3,73,69
86,-47,-211,71,70,2,4,62,62
87,-54,-209,77,69,6,10,63,80
88,-51,-204,87,70,4,-7,81,77
89,-54,-212,94,68,1,0,81,74
90,-62,-226,110,76,0,-3,76,77
91,-61,-230,111,63,7,-1,67,75
92,-67,-225,107,50,5,1,68,75
93,-64,-212,95,41,-4,-4,79,75
94,-60,-198,99,42,-4,1,85,82
95,-59,-190,106,49,7,20,104,99
96,-57,-178,102,43,8,20,108,95
97,-41,-159,104,48,14,15,103,108
98,-41,-155,104,55,25,33,117,111
99,-36,-150,105,58,36,42,119,107
100,-28,-147,113,72,42,47,121,113
101,-28,-151,102,68,42,40,109,110
102,-26,-149,115,75,41,29,113,113
103,-27,-146,123,76,49,33,120,114
104,-38,-139,120,80,53,42,126,109
105,-29,-139,120,85,45,51,115,112
106,-28,-138,112,84,47,54,120,108
107,-23,-136,122,78,50,56,124,112
108,-27,-126,109,84,39,56,132,120
109,-23,-111,105,81,49,66,146,130
110,-5,-102,102,89,46,72,158,140
111,-9,-104,97,82,46,81,160,142
112,-12,-109,93,79,59,77,159,139
113,-2,-111,79,69,53,74,156,151
114,6,-102,66,56,51,79,156,149
115,-13,-106,70,39,37,71,153,144
