,I,II,v1,v2,v3,v4,v5,v6
0,-94,-97,35,9,-101,-89,-140,-53
1,-109,-116,37,-13,-127,-95,-146,-81
2,-85,-159,13,-56,-113,-138,-151,-101
3,-105,-195,-14,-69,-136,-135,-165,-114
4,-70,-186,-9,-88,-142,-130,-176,-102
5,-43,-184,-22,-71,-134,-143,-149,-83
6,-34,-169,-65,-94,-118,-128,-168,-99
7,-41,-109,-45,-89,-118,-122,-162,-85
8,-3,-86,-5,-104,-84,-101,-154,-80
9,-62,-101,-11,-84,-118,-104,-167,-72
10,-23,-64,47,-87,-133,-120,-178,-96
11,-39,-84,26,-74,-100,-178,-168,-105
12,-43,-97,90,-56,-74,-154,-149,-149
13,-50,-117,103,-31,-48,-167,-163,-141
14,-81,-120,128,25,-36,-169,-140,-160
15,-107,-134,117,24,-24,-202,-184,-176
16,-107,-149,148,64,-19,-194,-179,-206
17,-141,-125,179,76,0,-186,-180,-228
18,-170,-148,214,194,-22,-199,-207,-212
19,-197,-154,237,239,-23,-161,-196,-188
20,-185,-91,255,320,20,-215,-196,-157
21,-165,-22,328,429,69,-130,-146,-132
22,-60,68,276,375,86,-56,-29,-44
23,26,120,261,418,140,43,66,64
24,116,118,208,423,180,168,151,199
25,227,198,150,400,278,335,359,293
26,236,258,158,460,487,526,527,523
27,322,301,82,451,612,789,736,637
28,393,366,64,463,781,1003,913,745
29,466,387,-13,438,930,1187,1038,813
30,512,443,-149,400,1060,1359,1173,921
31,587,494,-225,420,1297,1624,1358,1023
32,629,665,-322,395,1536,1872,1582,1133
33,725,722,-385,334,1766,2138,1726,1275
34,666,797,-530,317,1849,2303,1780,1302
35,661,828,-588,224,1840,2293,1803,1272
36,651,810,-644,168,1750,2228,1712,1218
37,675,703,-662,113,1640,2015,1602,1147
38,639,557,-644,98,1515,1797,1485,1104
39,616,472,-619,58,1289,1472,1237,941
40,500,312,-572,4,1026,1093,1024,787
41,440,242,-542,-121,666,743,749,635
42,374,135,-459,-150,489,515,524,456
43,276,75,-393,-134,304,365,365,370
44,228,-46,-357,-177,198,229,259,279
45,158,-88,-252,-103,68,101,124,209
46,120,-102,-214,-132,-6,12,40,111
47,39,-90,-163,-116,-38,-56,19,73
48,12,-107,-127,-82,-46,-29,8,61
49,11,-83,-58,-78,-13,7,-15,68
50,-5,-35,-16,-65,-10,5,1,60
51,-63,-46,7,-29,-25,-2,0,57
52,-66,-53,-2,-37,-24,19,-31,18
53,-68,-44,6,-10,1,0,-11,-15
54,-41,-62,-15,-5,-15,-6,-47,-12
55,-42,-73,-1,-14,1,-17,-61,-17
56,-35,-39,30,-17,-19,-60,-69,-30
57,-39,-39,18,-3,-16,-62,-53,-10
58,-42,-12,50,13,-40,-37,-37,-5
59,-51,-23,44,20,-21,-26,-35,2
60,-52,-21,48,13,-37,-24,-34,-18
61,-57,-33,43,5,-42,-29,-48,-22
62,-62,-31,40,12,-59,-48,-60,-32
63,-54,-38,44,6,-47,-53,-52,-35
64,-42,-43,49,15,-58,-62,-55,-39
65,-40,-54,34,-2,-60,-68,-58,-40
66,-41,-70,35,-9,-49,-61,-58,-30
67,-34,-64,32,-4,-54,-59,-63,-39
68,-33,-59,24,-2,-48,-60,-67,-40
69,-40,-50,15,-1,-63,-63,-58,-38
70,-27,-56,16,-3,-62,-59,-58,-34
71,-19,-58,27,-3,-45,-56,-49,-27
72,-18,-59,34,-3,-39,-55,-41,-22
73,-25,-59,29,-1,-43,-52,-44,-21
74,-27,-46,33,3,-44,-49,-43,-17
75,-31,-44,34,2,-36,-45,-38,-14
76,-25,-43,30,7,-33,-39,-41,-14
77,-29,-50,30,13,-38,-47,-42,-26
78,-32,-59,36,8,-41,-56,-47,-31
79,-31,-70,33,6,-45,-57,-52,-29
80,-32,-66,23,11,-49,-53,-59,-29
81,-34,-62,23,15,-50,-56,-58,-33
82,-35,-73,20,8,-50,-59,-59,-31
83,-38,-74,20,14,-52,-61,-61,-43
84,-30,-71,20,21,-55,-69,-61,-42
85,-28,-80,24,24,-52,-64,-67,-35
86,-38,-81,31,25,-46,-65,-63,-37
87,-39,-85,29,21,-44,-66,-61,-43
88,-41,-90,37,31,-44,-62,-64,-39
89,-48,-91,36,35,-43,-64,-62,-38
90,-52,-98,37,27,-36,-64,-64,-41
91,-51,-102,40,23,-38,-69,-59,-44
92,-60,-103,44,18,-52,-70,-57,-44
93,-61,-98,46,20,-49,-72,-57,-40
94,-56,-98,42,25,-48,-72,-59,-39
95,-57,-86,39,26,-42,-71,-59,-36
96,-57,-87,38,28,-29,-67,-64,-33
97,-61,-87,41,33,-30,-59,-68,-41
98,-61,-83,47,36,-34,-64,-67,-44
99,-59,-86,43,31,-41,-66,-74,-39
100,-60,-91,41,30,-35,-66,-70,-40
101,-61,-84,50,28,-35,-69,-67,-40
102,-62,-85,56,29,-34,-75,-65,-39
103,-69,-83,56,31,-38,-76,-64,-37
104,-69,-86,57,22,-41,-74,-70,-41
105,-64,-83,67,19,-39,-75,-72,-38
106,-67,-78,66,18,-35,-67,-62,-33
107,-66,-81,65,17,-37,-67,-61,-32
108,-62,-84,71,19,-39,-70,-59,-30
109,-63,-80,71,20,-36,-71,-57,-34
